Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,folder_date
0.790716764,0.36351791,0.601216644,0.128891503,0.022461786,0.000446868,0.11608434,0.535150025,0.660820452,0.363564169,2024-01-23
0.071019557,0.96817083,0.642585096,0.012757464,0.978861587,0.473680617,0.745759618,0.700217577,0.828125881,0.47413187,2024-01-23
0.670646714,0.624976154,0.056395429,0.327546402,0.666314067,0.114538614,0.662204451,0.302276577,0.749370663,0.168614641,2024-01-23
0.536330603,0.852337969,0.463758122,0.378378451,0.299660756,0.24020569,0.593126239,0.371308859,0.434334618,0.013733378,2024-01-23
0.451216627,0.38060156,0.228685601,0.26898428,0.140815285,0.192435725,0.341423153,0.262732707,0.31467243,0.858728113,2024-01-23
0.466607201,0.838704355,0.260253164,0.696750454,0.390404153,0.158078899,0.321317559,0.378697073,0.251880224,0.517043541,2024-01-23
0.076900471,0.566121582,0.114351217,0.025437506,0.033217577,0.883521575,0.005139886,0.479359211,0.999084607,0.981221823,2024-01-23
0.560859511,0.23289216,0.47628068,0.880093275,0.198408143,0.617931796,0.604432385,0.712772513,0.132725224,0.105888726,2024-01-23
0.51649218,0.006171019,0.095151813,0.629573305,0.191541515,0.665962332,0.638283048,0.590722368,0.437678457,0.693483091,2024-01-23
0.424436007,0.431680406,0.607204039,0.34387387,0.980865411,0.760675137,0.729077249,0.255474744,0.255503067,0.527977593,2024-01-23
0.788322955,0.184646547,0.583460368,0.046989377,0.454639739,0.683394126,0.768742981,0.663912511,0.324805444,0.525287785,2024-01-23
0.070961479,0.680096539,0.487563795,0.029833883,0.253036809,0.558528554,0.702625923,0.909116515,0.303698776,0.364206923,2024-01-23
0.782780476,0.20456443,0.194855064,0.486871554,0.196926874,0.184587474,0.084423322,0.983256076,0.123896281,0.339058549,2024-01-23
0.066444858,0.999091584,0.957447314,0.58928371,0.917966381,0.460784093,0.335674918,0.664823931,0.826120067,0.732262259,2024-01-23
0.788649913,0.207112716,0.805462368,0.865087449,0.255880692,0.618774675,0.461586335,0.653567466,0.069193848,0.251323862,2024-01-23
0.111446301,0.227895794,0.522071514,0.418932201,0.244208799,0.771268076,0.081358681,0.945183289,0.571320737,0.454478477,2024-01-23
0.611112818,0.919972842,0.237510525,0.025733813,0.831330696,0.447549751,0.13378015,0.7882374,0.156369494,0.449302761,2024-01-23
0.988739772,0.391925319,0.535189164,0.311208926,0.950993057,0.625597552,0.481287082,0.401322154,0.81498484,0.289943166,2024-01-23
0.094838509,0.462397518,0.072068575,0.101863052,0.684186605,0.531632728,0.199419567,0.149813126,0.238270309,0.862377599,2024-01-23
0.09178135,0.964213819,0.740041994,0.861784785,0.517011073,0.406858642,0.040206496,0.064392717,0.657764427,0.865215568,2024-01-23
0.536209024,0.05143127,0.740291887,0.260264555,0.03007106,0.217585653,0.531813656,0.52706157,0.29571702,0.907598007,2024-01-23
0.456222202,0.946067647,0.798355312,0.024869961,0.147771707,0.113874742,0.526511361,0.193878771,0.665188507,0.047912773,2024-01-23
0.844630449,0.072900623,0.455141073,0.842321076,0.89346416,0.196733399,0.316648364,0.458370927,0.03487864,0.223306999,2024-01-23
0.889058617,0.153918202,0.455937033,0.827117464,0.242355034,0.790066661,0.132504502,0.720589052,0.999289741,0.894910659,2024-01-23
0.218118508,0.891127859,0.586448496,0.179771286,0.892992328,0.2582054,0.561371309,0.421918918,0.30183089,0.119127526,2024-01-23
0.379591304,0.65207892,0.780174478,0.705983012,0.647072241,0.084373873,0.944674259,0.147302216,0.158055904,0.970537795,2024-01-23
0.205840518,0.555037484,0.877214043,0.337934707,0.648451188,0.833857691,0.767369729,0.873275405,0.986305676,0.716917591,2024-01-23
0.643401023,0.450759126,0.38367604,0.794084044,0.895951239,0.006238927,0.734109194,0.239971136,0.291110133,0.966672085,2024-01-23
0.093255019,0.005378173,0.145844128,0.777529635,0.047420362,0.512124298,0.212248556,0.266526401,0.702338355,0.277990694,2024-01-23
0.457602608,0.936727847,0.069698942,0.957484103,0.561332041,0.758625059,0.633701473,0.102153112,0.253039276,0.999292145,2024-01-23
0.762248901,0.299329012,0.775875745,0.988106299,0.350088611,0.251418566,0.573591807,0.753445477,0.857002757,0.48033322,2024-01-23
0.018772749,0.297657545,0.42824297,0.920032639,0.550301257,0.209839682,0.416841929,0.998059733,0.666010108,0.36848733,2024-01-23
0.745728358,0.280787179,0.068912745,0.539638173,0.47689437,0.58687934,0.150703928,0.35068653,0.760409966,0.731481431,2024-01-23
0.084364706,0.442740762,0.40949949,0.092698491,0.728813725,0.243372228,0.058089585,0.296014784,0.00916566,0.034959314,2024-01-23
0.024019834,0.5126618,0.176361718,0.792796513,0.477542321,0.544044895,0.539971894,0.881529867,0.234926788,0.620280684,2024-01-23
0.594146054,0.181702968,0.550904888,0.012423057,0.777431245,0.136163705,0.523211056,0.798914291,0.759923742,0.79318051,2024-01-23
0.686298631,0.163245469,0.132202552,0.447822875,0.652805693,0.908616702,0.545955714,0.294657733,0.686038082,0.636654046,2024-01-23
0.628528838,0.628380648,0.484381724,0.857602988,0.381656843,0.602972761,0.411187359,0.379770369,0.986592615,0.099919806,2024-01-23
